	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_639	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_640	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	NA	NA	NA
ASV_641	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_642	Viridiplantae	Streptophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Dioscorea	NA
ASV_643	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Echium	NA
ASV_644	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Glandora	NA
ASV_645	Viridiplantae	Streptophyta	Magnoliopsida	NA	NA	NA	NA
ASV_646	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_647	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_648	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_649	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Lamium	NA
ASV_650	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rhamnaceae	Adolphia	NA
ASV_651	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
ASV_652	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	NA
ASV_653	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_654	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	NA
ASV_655	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA
ASV_656	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Fagaceae	Fagus	NA
ASV_657	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Fagaceae	Fagus	NA
ASV_658	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Myosotis	NA
ASV_659	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	NA
